"video_id","title","comment_text","author","published_at","comment_like_count","reply_count","comment_id","reply_text","parent_id","series"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,"정말 비비상은 대단해... 저런 남자와 평생 함께할 생각을 하다니.. 












현명해",@MSYForever1,"2020-10-27T12:59:35Z","6",0,Ugww3XjoyOrObCv4Ik94AaABAg,"",Ugww3XjoyOrObCv4Ik94AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,혀엉ㅜㅜ보고싶었어요ㅜㅜ,@bb__91,"2020-10-27T12:59:36Z","0",0,UgxG9yVL-28yj7soWQJ4AaABAg,"",UgxG9yVL-28yj7soWQJ4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,형 청소할때 현타오지 않아? ㅋㅋㅋ,@user-lh9pz8tn1j,"2020-10-27T12:59:38Z","0",0,UgxDDd3YPjhfuFrHURR4AaABAg,"",UgxDDd3YPjhfuFrHURR4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,"아 이게 바로 jm감성이지...
그리웠어 형... 방구석에서 냄새 맡으며 언박싱하던...",@specialone4567,"2020-10-27T12:59:49Z","1",0,UgwmPA7OmoJDFMb9YMR4AaABAg,"",UgwmPA7OmoJDFMb9YMR4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,형 설마 티팬티? 0:11,@justiceleague206,"2020-10-27T12:59:54Z","0",0,UgzLIvv9JTZ6kSAnB8Z4AaABAg,"",UgzLIvv9JTZ6kSAnB8Z4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,"05:28 심쿵 05:50 死....❤️",@user-ji5sk6fs5l,"2020-10-27T12:59:57Z","18",0,UgyHiw3WsU3OQQ2WdMt4AaABAg,"",UgyHiw3WsU3OQQ2WdMt4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,사리짱 한국와서 더 리액션이 커진느낌 나만 그런갗ㅋㅋㅋ,@hy20120,"2020-10-27T13:00:04Z","0",0,UgynLs2ENc24WlRM7FV4AaABAg,"",UgynLs2ENc24WlRM7FV4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,"""He is 0:11""",@user-us9yx4ct3c,"2020-10-27T13:00:11Z","1",0,UgyaiXng1oJWv93sur14AaABAg,"",UgyaiXng1oJWv93sur14AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,그나저나 편집 찰지다잉~,@tabascos2835,"2020-10-27T13:00:14Z","0",0,UgwEe2bwdEhFySXf0Wh4AaABAg,"",UgwEe2bwdEhFySXf0Wh4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,"10분리뷰 부탁해요 ㅎ
하루종일 리뷰 부탁해요",@usduuuuuuuu,"2020-10-27T13:00:17Z","0",0,UgxiJxEjxNhfPaOUUhd4AaABAg,"",UgxiJxEjxNhfPaOUUhd4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,혼자 하는 줄 알았더니 사리짱이 옆에서 현타오는 표정으로 카메라 들고 있음... ㅋㅋ,@kris_h____9406,"2020-10-27T13:00:18Z","0",0,Ugzu8jgV3byadbD8hJd4AaABAg,"",Ugzu8jgV3byadbD8hJd4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,형 A7C는 어떤지 영상 만들어주면 안돼?,@steelung,"2020-10-27T13:00:21Z","0",0,UgzJtNIa7k9NCJ7AVJF4AaABAg,"",UgzJtNIa7k9NCJ7AVJF4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,"3:49 JM 아이폰SE 리뷰 본 사람들은 딸기 냄새 알지  무슨 냄새인지는 몰라도 ㅋㅋ",@0YYY0,"2020-10-27T13:00:28Z","0",0,UgwJSUGSARS_3pVvhXt4AaABAg,"",UgwJSUGSARS_3pVvhXt4AaABAg,"12"
